Stock Code;Bar Code;Stock Description;Retail Price Incl.;Count
11568;;T/L SPANNER SET 8PC 6-13MM;R 136.80;
11569;;RUW CHUCK 13MM PROFESSIONAL;R 33.00;
11580;;WIRE BRUSH WHEEL 40X75MM;R 18.60;
11583;;ELECT PRE LUGS NO16/17/19;R 8.00;
11587;;PT TURNBUCKLE GALV H+E 12MM;R 30.00;
11588;6004765140500;SCRAPER - PROF 50MM HAMIL;R 37.00;
11592;;ASC TYRE JACK 340ML;R 44.20;
11601;;CC ACRYLIC PAINT 100ML;R 10.50;
11613;;NAA IMBUIA MATCHING 20LT;R 1,165.00;
11618;6005721023370;RUW 3M WOOD BRAD DRILLBIT;R 19.50;
11619;6003851423770;PL COL LF BRIGHT YELLOW 1LT;R 886.40;
11620;6003851423879;PL COL LF MEDIUM YELLOW 1LT;R 880.20;
11621;6003851423671;PL COL HS PHTHALO GREEN 1LT;R 524.10;
11622;6003851423979;PL COL HS BRIGHT RED 1LT;R 714.80;
11623;6003851423572;PL COL HS PHTHALO BLUE 1LT;R 584.80;
11624;;PT TURNBUCKLE GALV H+E 8MM;R 7.70;
11627;;PT AXE HATCHET LASHER H/D 1.8K;R 174.29;
11630;6003173001076;H/R NO. 1 PRIMER 1LT;R 241.00;
11632;6004596002091;DURAM DURAMESH (200MMX10M);R 46.50;
11651;;WEBCO GARDEN FORK;R 119.00;
11652;;MTS SQUARE COMBINATION 300MM;R 75.00;
11655;;WEBCO TAPE - 3MT;R 21.70;
11656;;WEBCO TAPE - 5MT;R 36.30;
11658;;WEBCO TAPE - 20MT F/GLASS;R 102.00;
11659;;MEASURING TAPE 30MT STEEL;R 210.00;
11661;;WEBCO LEVEL SPIRIT - 600;R 72.30;
11662;;WEBCO LEVEL SPIRIT - 900;R 99.60;
11666;;WEBCO RETRACTABLE BLADE KNIFE;R 67.70;
11669;;WEBCO BLADE STANDARD BS5;R 12.10;
11670;;WEBCO HACKSAW BLADE 24T 12PCE;R 11.80;
11672;;WEBCO SNAP OFF BLADE PKD BSP18;R 17.00;
