Stock Code;Bar Code;Stock Description;Count
11942;;T/L FLOAT PLASTERING 280MM;
11944;;ZEL CHISEL WOOD MAR PROF 06MM;
11945;;DISC REINFORCED 350/3.2/25;
11946;6005721018949;RUW 11M METAL INDUST DRILLBIT;
11982;;WOODOC 25 MATT 5LT;
11983;;WOODOC 25 MATT 1LT;
11987;;BRUSH - RENOVATOR ELIPSE 140MM;
11992;600317300512;H/R HAMMERED LIGHT BLUE 1LT;
11994;;STAFF - COCA-COLA 340ML;
11995;;STAFF - VALPRE SPRING WATER 50;
11996;;STAFF - APPLE/PEARTISER 340ML;
11997;;STAFF - POWERADE 500ML;
1200;;T/L TAPE MEASURE 7.5M ERGONOM;
12001;;WEBCO BRICK BOLSTER 75X175MM;
12002;6004765191151;BRUSH - ENSIGN ANGLED 38MM;
12003;6004765191205;BRUSH - ENSIGN ANGLED 50MM;
12007;;CLEARANCE STOCK;
1201;;DX TRADE F/COTE DK SEA GREY 1L;
12030;;DEK TRADE L/S SEED PEARL 20LT;
12031;;DEK TRADE L/S CABALLERO 20LT;
12033;;SPRAYGUN S106 FLUID NEEDLE;
12040;;RUW 1.2M METAL INDUST DRILLBIT;
12045;;MAT - DIRT TRAPPER 750X450MM;
12046;;PT SANDING BLOCK RUBBER 125X68;
12047;;T/L RACHET SPRING CLAMP 5INCH;
1205;;T/L SCRAPER 5IN1 DELUXE;
12050;;PT GLOVES F/LINED H/H 10143Y-M;
12059;;BASE ONLY - WALL/ALL PASTEL 20;
12060;;KK BB150 CPNCD C/P NECK B/BOLT;
12063;;KK CASEMENT FASTENER & MORT/PL;
12064;;KK CASEMENT FASTENER WINDOW CF;
12068;;BASE ONLY - ACRYDEK PASTEL 20L;
12069;;BASE ONLY - ACRYDEK PASTEL 5LT;
1207;;T/L MINI STAINLESS STEEL KNIFE;
12070;;BASE ONLY - ACRYDEK PASTEL 1LT;
12071;;BASE ONLY - ACRYDEK DEEP 20LT;
12073;;BASE ONLY - ACRYDEK DEEP 5LT;
12074;;BASE ONLY - ACRYDEK DEEP 1LT;
12075;;BASE ONLY - ACRYDEK TRANS 20LT;
12076;;BASE ONLY - ACRYDEK TRANS 5LT;
